DATE,DEX,TOKEN_IN,AMOUNT,TRADERS
2022-01-28,ref,DAI,87715.96,17
2022-11-21,ref,DAI,1542.49,10
2022-07-03,ref,USDC,100381.83,13
2022-08-11,ref,USDC,253139.93,8
2022-08-07,ref,USDT,471692.51,21
2022-01-08,ref,USDC,6902.73,19
2021-11-29,ref,USDC,1554.98,8
2022-07-23,ref,USN,8613.09,10
2022-07-19,jumbo,USDT,362.99,4
2022-11-18,ref,USN,558.33,9
2022-06-29,ref,DAI,3323.16,6
2022-10-09,ref,DAI,807.96,4
2022-08-03,ref,USDC,263259.18,13
2021-09-10,ref,USDT,785738.54,92
2022-05-22,ref,USDT,138557.54,17
2022-05-13,ref,USN,4206.35,29
2021-12-28,ref,USDC,7820.28,35
2022-11-10,ref,USDT,1320018.96,18
2022-02-25,ref,DAI,110430,17
2021-09-13,ref,USDT,457715.96,101
2022-02-13,ref,USDT,178441.25,19
2022-01-06,ref,USDC,5986.97,21
2022-11-17,ref,DAI,300.7,10
2022-03-01,ref,USDT,1068585.2,32
2022-06-15,ref,USDT,2170535.36,22
2022-07-04,ref,USDC,156503.83,10
2022-10-12,ref,USN,793.8,7
2022-03-27,ref,USDT,13167.92,18
2022-04-08,jumbo,USDT,174.37,4
2022-05-11,ref,USDC,3407155.98,17
2022-09-10,ref,USDT,330735.52,18
2022-08-28,ref,USDT,166809.94,10
2021-12-11,ref,USDC,5693.04,12
2022-09-22,ref,USN,6217.83,9
2022-05-31,ref,DAI,9700.51,10
2022-06-24,jumbo,USDT,178.32,3
2022-03-21,jumbo,USDT,6.73,2
2022-03-24,ref,USDC,137316.3,14
2021-11-04,ref,USDT,313481.19,120
2021-09-19,ref,USDT,819667.86,104
2022-07-26,ref,USDC,207382.63,16
2022-06-06,ref,USDC,202080.73,9
2022-06-12,ref,DAI,15082.3,8
2022-06-13,ref,USDC,1542019.11,16
2021-10-20,ref,DAI,144552.71,107
2022-08-24,ref,USDT,298195.92,13
2022-05-15,ref,USDT,754602.04,32
2021-09-26,ref,USDC,6388.41,63
2022-09-27,ref,USDT,403098.57,23
2022-06-24,ref,DAI,6938.8,7
2022-09-13,ref,USDT,626293.58,32
2022-01-31,ref,USDC,7330.15,12
2021-12-03,ref,USDC,2078.13,9
2022-05-17,ref,USN,2194.07,15
2022-08-04,ref,DAI,3642.07,9
2022-11-12,ref,USDC,167454.34,9
2022-06-14,ref,DAI,14771.33,8
2022-10-25,ref,USDC,138586.13,12
2022-07-01,ref,DAI,4826.37,6
2022-10-25,ref,USN,2656.03,7
2022-10-19,ref,DAI,1673.77,9
2022-10-22,ref,USN,518.27,5
2022-11-14,ref,USN,997.23,10
2022-06-19,ref,USN,7552.75,8
2022-06-16,jumbo,USDT,301.08,3
2022-11-04,jumbo,USDT,12.73,1
2022-02-09,ref,USDT,89349.14,22
2021-10-11,ref,USDT,133232.41,139
2021-09-20,ref,USDC,3258.27,30
2022-05-07,ref,USDT,177287.59,32
2022-05-18,ref,USDC,220367.51,9
2022-09-25,ref,USN,3027.45,16
2021-09-01,ref,USDC,2702.1,60
2022-08-20,ref,DAI,3906.59,6
2022-07-09,ref,USDT,503052,18
2022-02-26,ref,USDT,305291.8,19
2022-11-17,ref,USN,373.87,7
2022-03-06,ref,DAI,14806.09,23
2021-09-15,ref,USDC,1318.12,14
2022-04-18,ref,USDC,342742.03,11
2022-06-10,ref,USN,1991.12,16
2022-07-03,ref,USN,1400.48,8
2022-04-05,ref,USDT,393325.69,25
2022-08-05,ref,USDT,1279767.65,22
2022-05-27,ref,USDC,268638.15,12
2022-08-15,jumbo,USDT,0.92,2
2022-03-09,ref,DAI,42381.43,6
2022-09-30,ref,USN,1087.52,8
2022-11-04,ref,USDT,658618.63,12
2022-06-21,jumbo,USDT,278.6,4
2022-05-09,jumbo,USDT,15.97,3
2022-08-21,jumbo,USDT,4.03,3
2022-10-30,ref,USN,1540.61,8
2022-08-01,jumbo,USDT,0.15,1
2022-03-07,ref,USDC,236298.86,10
2021-10-14,ref,USDC,3846.8,57
2022-03-27,ref,USDC,42704.68,10
2022-06-21,ref,DAI,6509.63,8
2022-01-18,ref,DAI,162696.06,32
2022-07-25,ref,USDT,148719.03,25
2021-10-29,ref,USDT,185980.32,157
2021-09-24,ref,DAI,829351.34,69
2021-10-01,ref,USDC,4576.79,31
2021-10-19,ref,DAI,114719.89,110
2022-08-27,ref,USDC,87702.52,10
2021-09-06,ref,DAI,148383.85,68
2021-09-06,ref,USDT,164904.58,55
2022-01-10,ref,USDC,9771.23,18
2022-07-03,jumbo,USDT,30.41,3
2022-08-09,ref,USDT,1133880.01,31
2022-04-25,ref,DAI,21017.58,9
2022-08-26,ref,USDT,504021.09,29
2022-04-07,ref,DAI,24404.7,10
2022-01-31,ref,USDT,154355.58,33
2022-06-14,ref,USN,6920.61,18
2022-10-10,ref,DAI,552.3,7
2022-07-02,ref,USDT,280434.28,17
2022-09-11,ref,USN,8110.33,10
2022-10-08,ref,USDC,15338.21,7
2022-03-29,jumbo,USDT,13.56,2
2022-06-20,jumbo,USDT,221.15,3
2022-05-03,jumbo,USDT,3.58,2
2022-07-22,ref,USN,15222.15,8
2022-04-30,ref,DAI,30161.9,10
2022-04-25,jumbo,USDT,213.2,3
2022-10-08,ref,DAI,119.57,1
2022-04-05,jumbo,USDT,4.62,2
2022-01-11,ref,DAI,161019.2,27
2022-02-16,ref,USDC,2301.51,7
2021-12-05,ref,USDC,1920.12,11
2021-09-01,ref,DAI,12265.98,38
2022-05-10,ref,USDT,7620370.22,40
2022-01-19,ref,USDT,322859.5,50
2022-07-29,jumbo,USDT,0.19,1
2021-11-03,ref,USDC,11342.07,38
2022-04-15,ref,USDT,110458.31,26
2022-05-12,ref,USDC,1580217.32,22
2021-11-20,ref,DAI,172862.98,34
2022-02-01,ref,USDC,15227.45,12
2022-10-03,ref,USDT,113369.95,18
2021-11-25,ref,USDC,4483.47,12
2022-05-23,ref,USDC,137386.15,8
2021-10-24,ref,USDC,7946.82,50
2022-06-09,ref,USDT,206908.94,20
2022-04-06,ref,USDT,597800.59,39
2022-03-17,ref,DAI,13758.26,6
2021-09-02,ref,USDC,3027.09,95
2021-09-18,ref,USDC,3500.74,58
2022-01-23,ref,DAI,312364.88,21
2022-06-30,ref,USDT,446036.61,24
2022-06-15,ref,USDC,1094544.22,11
2022-07-26,ref,USDT,270721.91,21
2022-09-08,jumbo,USDT,0.17,2
2021-09-05,ref,DAI,81299.52,30
2022-06-24,ref,USN,6667.25,9
2022-07-02,ref,DAI,1153.37,4
2022-04-25,ref,USN,439.74,3
2022-08-18,jumbo,USDT,3.1,3
2022-06-03,ref,USDC,157305.3,12
2022-08-06,ref,DAI,1386.54,5
2022-10-27,ref,USN,2624.76,7
2022-06-04,ref,USDC,171592.1,13
2022-02-05,ref,USDC,1900.05,13
2022-07-27,ref,DAI,3150.77,6
2022-06-01,ref,USN,2989.71,12
2022-11-22,jumbo,USDT,15.73,1
2022-08-06,ref,USDC,169878.07,11
2022-10-05,ref,USN,3035.53,7
2022-07-17,jumbo,USDC,7.66,2
2022-07-01,ref,USDT,732123.54,20
2021-09-14,ref,DAI,363701.74,46
2022-06-22,ref,USDT,761946.6,26
2021-12-27,ref,USDT,309489.64,53
2021-09-25,ref,DAI,305432.24,76
2022-03-31,ref,USDT,68519.23,13
2022-02-24,jumbo,USDT,42.66,3
2022-03-01,ref,DAI,220309.3,35
2022-08-23,jumbo,USDT,0.11,1
2022-08-12,ref,USN,9267.28,9
2022-03-07,ref,DAI,11199.08,8
2022-05-30,ref,USDT,324369.1,26
2022-04-17,ref,USDT,288855.58,20
2021-11-21,ref,USDC,2697.24,10
2021-11-30,ref,USDC,859.92,8
2022-08-08,ref,USN,11938.29,10
2022-04-28,ref,USN,696.73,2
2022-07-01,jumbo,USDT,238.92,4
2021-11-26,ref,USDC,5828.85,10
2022-06-26,ref,DAI,5280.81,7
2022-11-06,ref,USN,617.49,10
2022-08-10,ref,DAI,6388.73,6
2022-05-15,ref,USDC,525978.6,9
2022-07-21,jumbo,USDC,0.2,1
2022-01-03,ref,USDT,510472.81,40
2022-07-24,ref,USN,18114.52,6
2022-05-20,ref,DAI,5610.53,5
2022-05-29,ref,USDT,222718.28,14
2021-10-27,ref,USDT,848977.43,426
2022-04-20,ref,USDC,417820.1,15
2022-11-10,ref,USDC,550823.59,11
2022-08-17,ref,USDT,325644.34,25
2022-11-22,ref,USN,377.82,7
2022-08-31,ref,USDC,289615.75,12
2022-04-16,ref,DAI,2254.14,6
2022-07-18,jumbo,USDT,280.42,4
2022-05-17,ref,USDT,389961.76,24
2022-08-11,ref,USN,5101.62,7
2022-04-22,ref,DAI,12928.3,9
2022-10-16,ref,USDT,116172.09,14
2022-11-01,ref,USDC,41827.94,11
2022-07-06,jumbo,USDT,16.08,2
2022-04-10,ref,DAI,13296.37,12
2022-08-30,jumbo,USDT,1.15,2
2022-07-20,ref,USDC,353699.08,13
2022-08-19,ref,DAI,7862.88,9
2022-10-30,ref,USDC,258153.54,10
2021-09-13,ref,USDC,1111.04,23
2022-10-22,ref,USDT,92989.72,12
2022-03-25,ref,USDC,56836.32,7
2022-11-19,ref,DAI,491.78,5
2022-05-02,ref,USN,1290.97,4
2022-08-16,ref,USDC,116789.76,10
2022-03-12,ref,USDC,116827.06,6
2022-04-18,ref,USN,0,1
2022-05-23,jumbo,USDT,0.62,1
2022-06-03,ref,USDT,391933,26
2022-06-21,ref,USN,3306.95,6
2022-10-17,ref,USDT,72381.53,18
2022-05-10,ref,USN,5402.46,31
2022-02-19,ref,USDC,188613.09,30
2022-08-08,ref,DAI,5408.5,6
2022-08-06,ref,USDT,258564.74,13
2022-11-05,ref,DAI,626.84,7
2022-10-05,ref,USDT,220158.46,23
2022-02-20,ref,USDC,236351.55,20
2021-11-05,ref,USDC,2886.82,23
2022-09-29,ref,USN,124419.48,16
2022-07-11,ref,USDC,476480.21,14
2021-11-30,ref,DAI,330620.07,25
2022-06-01,ref,DAI,8116.05,11
2022-07-03,ref,DAI,1192.91,5
2022-05-28,ref,DAI,4017.87,6
2022-06-17,ref,USN,3004.17,11
2022-03-21,ref,USDC,43631.06,7
2022-07-31,jumbo,USDT,0.23,2
2022-03-02,jumbo,USDC,1,1
2022-10-05,ref,USDC,135045.62,13
2022-11-15,ref,DAI,1336.18,6
2021-12-06,ref,DAI,267452.21,16
2022-11-20,ref,USDT,109338.97,20
2022-04-03,ref,DAI,39457.84,11
2021-10-11,ref,DAI,130356.92,68
2022-09-26,ref,USDC,106197.67,14
2022-05-25,ref,USN,523.28,16
2021-10-27,ref,DAI,312521.94,112
2021-11-12,ref,DAI,353527.46,30
2021-09-30,ref,DAI,210377.41,81
2022-07-01,ref,USDC,278708.44,13
