DATE,DEX,AMOUNT,TRADERS
2022-02-28,ref,824761.69,36
2022-08-09,ref,1592503.32,41
2022-08-12,ref,1039315.03,32
2022-03-17,jumbo,2.99,1
2022-05-07,jumbo,9.16,3
2022-05-27,jumbo,381.66,4
2022-05-30,jumbo,157.07,3
2022-04-22,jumbo,25.06,3
2022-07-27,jumbo,0.3,1
2022-02-10,ref,279115.65,38
2021-12-28,ref,645197.34,113
2021-09-07,ref,2201809.05,184
2022-08-21,ref,615993.91,17
2022-06-18,ref,1537776.82,39
2022-08-14,ref,239248.72,34
2022-10-29,ref,357624.04,16
2022-07-23,jumbo,374.57,4
2022-07-08,jumbo,280.57,3
2022-09-02,jumbo,0,1
2022-03-28,jumbo,3.93,1
2022-07-14,jumbo,161.87,3
2022-02-28,jumbo,37.61,1
2022-11-04,jumbo,12.73,1
2021-10-29,ref,336264.19,229
2022-08-08,ref,1420999.72,33
2022-05-31,ref,812419.85,52
2022-06-08,jumbo,226.21,4
2022-07-28,ref,1253792.77,20
2022-07-11,jumbo,875.23,4
2022-07-07,jumbo,61.28,2
2022-04-24,jumbo,13.09,3
2022-11-23,jumbo,78.32,1
2022-04-20,jumbo,154.24,3
2022-04-06,jumbo,6.19,2
2022-01-12,ref,760365.1,70
2021-09-21,ref,1115030.88,139
2022-05-12,ref,4088689.17,128
2022-03-27,ref,59357.17,28
2022-07-26,ref,484224.49,36
2022-11-04,ref,967577.96,12
2022-05-27,ref,959191.81,57
2022-07-24,ref,597105.3,21
2022-10-30,ref,875416.1,18
2022-08-17,ref,463983.68,36
2022-04-22,ref,800302.76,61
2022-05-15,ref,1305414.63,49
2022-05-25,ref,378618.98,42
2022-05-24,ref,437768.72,40
2022-11-13,ref,617590.56,27
2022-01-04,ref,967267.8,64
2022-09-02,ref,288122.02,32
2022-11-18,ref,85579.26,19
2022-08-07,jumbo,6,4
2021-10-05,ref,406044.78,682
2022-10-08,ref,60094.77,24
2022-08-11,ref,718423.47,26
2022-02-16,ref,143215.16,21
2022-05-03,jumbo,3.58,2
2022-04-01,ref,292742.32,28
2022-05-21,jumbo,18.28,2
2022-03-01,jumbo,103.75,3
2022-03-21,jumbo,6.73,2
2022-09-14,jumbo,0.21,1
2022-11-16,jumbo,0.19,1
2022-09-23,jumbo,0.09,2
2022-02-24,ref,1393104.05,59
2021-09-09,ref,2066816.67,257
2022-09-05,ref,113427.01,28
2021-10-14,ref,577041.69,210
2022-03-02,ref,1010523.97,42
2022-05-23,ref,476777.02,49
2022-03-18,jumbo,141.25,3
2022-08-28,jumbo,0.17,1
2022-06-18,jumbo,536.5,4
2022-09-19,jumbo,0.16,2
2022-05-17,ref,664702.15,36
2022-11-05,ref,630257.93,18
2021-11-03,ref,998621.62,202
2022-02-21,jumbo,105.56,2
2022-06-07,ref,819274.37,29
2022-01-11,ref,822420.5,61
2022-03-20,jumbo,12.65,3
